id,Player,height,weight,college,born,birth_city,birth_state
652,Mickey Johnson,208,86,Aurora University,1952,Chicago,Illinois
653,Jimmy Jones,193,85,Grambling State University,1945,Tallulah,Louisiana
654,Frank Kendrick,198,89,Purdue University,1950,Indianapolis,Indiana
655,Len Kosmalski,213,111,University of Tennessee,1951,Cleveland,Ohio
656,Bill Ligon,193,81,Vanderbilt University,1952,Nashville,Tennessee
657,Phil Lumpkin,183,74,Miami University,1951,Dayton,Ohio
658,Glenn McDonald,198,86,"California State University, Long Beach",1952,Kewanee,Illinois
659,Eric Money,183,77,University of Arizona,1955,Detroit,Michigan
660,Connie Norman,190,79,University of Arizona,1953,Detroit,Michigan
661,Kevin Restani,206,102,University of San Francisco,1951,San Francisco,California
662,Truck Robinson,201,102,Tennessee State University,1951,Jacksonville,Florida
663,Campy Russell,196,98,University of Michigan,1944,Chicago,Illinois
664,Fred Saunders,201,95,Syracuse University,1951,Columbus,Ohio
665,Tal Skinner,196,88,University of Maryland Eastern Shore,1952,Berlin,Maryland
666,Phil Smith,193,83,University of San Francisco,1952,San Francisco,California
667,Mike Sojourner,206,102,University of Utah,1953,Philadelphia,Pennsylvania
668,Kevin Stacom,190,83,Providence College,1951,New York,New York
669,George Thompson,188,90,Marquette University,1947,Brooklyn,New York
670,Dean Tolson,203,86,University of Arkansas,1951,Kansas City,Missouri
671,Foots Walker,183,83,State University of West Georgia,1951,Southampton,New York
672,Bill Walton*,211,95,"University of California, Los Angeles",1952,La Mesa,California
673,Perry Warbington,188,74,Georgia Southern University,1952,Atlabta,Georgia
674,Stan Washington,193,86,University of San Diego,1952,Washington,District of Columbia
675,Scott Wedman,201,97,University of Colorado,1952,Harper,Kansas
676,Owen Wells,201,90,University of Detroit Mercy,1950,Providence,Rhode Island
677,Jamaal Wilkes*,198,86,"University of California, Los Angeles",1953,Berkeley,California
678,Earl Williams,201,104,Winston-Salem State University,1951,Levittown,Pennsylvania
679,Brian Winters,193,83,University of South Carolina,1952,Rockaway,New York
680,Alvan Adams,206,95,University of Oklahoma,1954,Lawrence,Kansas
681,Jerome Anderson,196,88,West Virginia University,1953,Mullens,West Virginia
682,Jerry Baskerville,201,86,Temple University,1951,Philadelphia,Pennsylvania
683,Bob Bigelow,201,97,University of Pennsylvania,1953,Boston,Massachusetts
684,Tom Boswell,206,99,University of South Carolina,1953,Montgomery,Alabama
685,Junior Bridgeman,196,95,University of Louisville,1953,East Chicago,Indiana
686,Joe Bryant,206,83,La Salle University,1954,Philadelphia,Pennsylvania
687,Al Carlson,211,106,University of Oregon,1951,Oceanside,California
688,Jim Creighton,203,90,University of Colorado,1950,Billings,Montana
689,Henry Dickerson,193,86,University of Charleston,1951,Berkley,West Virginia
690,Eric Fernsten,208,92,University of San Francisco,1953,Oakland,California
691,Larry Fogle,196,92,Canisius College,1953,Brooklyn,New York
692,Don Ford,206,97,"University of California, Santa Barbara",1952,Santa Barbara,California
693,Donnie Freeman,190,83,University of Illinois at Urbana-Champaign,1944,Madison,Illinois
694,Kevin Grevey,196,95,University of Kentucky,1953,Hamilton,Ohio
695,Bob Gross,198,90,"California State University, Long Beach",1953,San Pedro,California
696,Lindsay Hairston,201,81,Michigan State University,1951,Detroit,Michigan
697,Glenn Hansen,193,92,Louisiana State University,1952,Devils Lake,North Dakota
698,Robert Hawkins,193,86,Illinois State University,1954,Detroit,Michigan
699,Wilbur Holland,183,79,University of New Orleans,1951,Columbus,Georgia
700,Lionel Hollins,190,83,Arizona State University,1953,Ark City,Kansas
701,Steve Jones,196,92,University of Oregon,1942,Alexandria,Louisiana
702,Rich Kelley,213,106,Stanford University,1953,San Mateo,California
703,Tom Kropp,190,92,University of Nebraska at Kearney,1953,Grand Island,Nebraska
704,John Lambert,208,102,University of Southern California,1953,Berkeley,California
705,John Laskowski,198,83,Indiana University,1953,South Bend,Indiana
706,Greg Lee,190,86,"University of California, Los Angeles",1951,Reseda,California
707,Clyde Mayes,203,102,Furman University,1953,Greenville,South Carolina
708,Ken Mayfield,188,83,Tuskegee University,1948,Chicago,Illinois
709,Jim McElroy,190,86,Central Michigan University,1953,Cotton Plant,Arkansas
710,George McGinnis,203,106,Indiana University,1950,Indianapolis,Indiana
711,Tom McMillen,211,97,University of Maryland,1952,Elmira,New York
712,Joe Meriweather,208,97,Southern Illinois University,1953,Phenix City,Alabama
713,Dave Meyers,203,97,"University of California, Los Angeles",1953,San Diego,California
714,Frank Oleynick,188,83,Seattle University,1955,Bridgeport,Connecticut
715,Cliff Pondexter,206,105,"California State University, Long Beach",1954,Fresno,California
716,Bill Robinzine,201,104,DePaul University,1953,Chicago,Illinois
717,John Roche,190,77,University of South Carolina,1949,New York,New York
718,Bruce Seals,203,95,Xavier University of Louisiana,1953,New Orleans,Louisiana
719,Ed Searcy,198,95,St. John's University,1952,New York,New York
720,Gene Short,198,90,Jackson State University,1953,Macon,Mississippi
721,John Shumate,206,106,University of Notre Dame,1952,Greenville,South Carolina
722,Ricky Sobers,190,89,"University of Nevada, Las Vegas",1953,Bronx,New York
723,Terry Thomas,203,99,University of Detroit Mercy,1953,Detroit,Michigan
724,Rudy White,188,88,Arizona State University,1953,Silver City,New Mexico
725,Gus Williams,188,79,University of Southern California,1953,Mount Vernon,New York
726,Tom Abernethy,201,99,Indiana University,1954,South Bend,Indiana
727,Bird Averitt,185,77,Pepperdine University,1952,Hopkinsville,Kentucky
728,Tom Barker,211,102,University of Hawaii,1955,Harlingen,Texas
729,Marvin Barnes,203,95,Providence College,1952,Providence,Rhode Island
730,Norton Barnhill,193,92,Washington State University,1953,Winston-Salem,North Carolina
731,Mike Barr,190,81,Duquesne University,1950,Canton,Ohio
732,Tim Bassett,203,102,University of Georgia,1951,Washington,District of Columbia
733,Byron Beck,206,102,University of Denver,1945,Ellensburg,Washington
734,Mel Bennett,201,90,University of Pittsburgh,1955,Pittsburgh,Pennsylvania
735,Ron Boone,188,90,Idaho State University,1946,Oklahoma City,Oklahoma
736,Quinn Buckner,190,86,Indiana University,1954,Phoenix,Illinois
737,Ticky Burden,188,83,University of Utah,1953,Haines City,Florida
738,Don Buse,193,86,University of Evansville,1950,Huntingburg,Indiana
739,Mack Calvin,183,74,University of Southern California,1947,Fort Worth,Texas
740,Cornelius Cash,203,97,Bowling Green State University,1952,Macon,Mississippi
741,Norm Cook,203,95,University of Kansas,1955,Chicago,Illinois
742,Louie Dampier*,183,77,University of Kentucky,1944,Indianapolis,Indiana
743,Mel Daniels*,206,99,University of New Mexico,1944,Detroit,Michigan
744,Adrian Dantley*,196,94,University of Notre Dame,1956,Washington,District of Columbia
745,Johnny Davis,188,77,University of Dayton,1955,Detroit,Michigan
746,Ron Davis,198,89,Washington State University,1954,Phoenix,Arizona
747,Randy Denton,208,108,Duke University,1949,Raleigh,North Carolina
748,Coby Dietrick,208,99,San Jose State University,1948,Riverside,California
749,Leon Douglas,208,104,University of Alabama,1954,Leighton,Alabama
750,Mike Dunleavy,190,81,University of South Carolina,1954,Brooklyn,New York
751,Jim Eakins,211,97,Brigham Young University,1946,Sacramento,California
752,Len Elmore,206,99,University of Maryland,1952,New York,New York
753,Darrell Elston,193,86,University of North Carolina,1952,Tipton,Indiana
754,Alex English*,201,86,University of South Carolina,1954,Columbia,South Carolina
755,Julius Erving*,201,95,University of Massachusetts Amherst,1950,Roosevelt,New York
756,Butch Feher,193,83,Vanderbilt University,1954,Flint,Michigan
757,Mike Flynn,188,81,University of Kentucky,1953,Casablanca,Morocco
758,Terry Furlow,193,86,Michigan State University,1954,Flint,Michigan
759,Mike Gale,193,83,Elizabeth City State University,1950,Philadelphia,Pennsylvania
760,Gus Gerard,203,90,University of Virginia,1953,Uniontown,Pennsylvania
761,George Gervin*,201,81,Eastern Michigan University,1952,Detroit,Michigan
762,Artis Gilmore*,218,108,Jacksonville University,1949,Chipley,Florida
763,Mike Green,208,90,Louisiana Tech University,1951,McComb,Mississippi
764,Steve Green,201,99,Indiana University,1953,Madison,Wisconsin
765,Paul Griffin,206,92,Western Michigan University,1954,Shelby,Michigan
766,Rudy Hackett,206,95,Syracuse University,1953,Mount Vernon,New York
767,Phil Hicks,201,92,Tulane University,1953,Chicago,Illinois
768,Armond Hill,193,86,Princeton University,1953,Brooklyn,New York
769,Darnell Hillman,206,97,San Jose State University,1949,Sacramento,California
770,Mo Howard,188,77,University of Maryland,1954,Philadelphia,Pennsylvania
771,Kim Hughes,211,99,University of Wisconsin,1952,Freeport,Illinois
772,Dan Issel*,206,106,University of Kentucky,1948,Batavia,Illinois
773,Dennis Johnson*,193,83,Pepperdine University,1954,San Pedro,California
774,Bobby Jones,206,95,University of North Carolina,1951,Charlotte,North Carolina
775,Caldwell Jones,211,98,Albany State University,1950,McGehee,Arkansas
776,Rich Jones,198,99,University of Memphis,1946,Memphis,Tennessee
777,Robin Jones,206,102,Saint Louis University,1954,St. Louis,Missouri
778,George Karl,190,83,University of North Carolina,1952,Penn Hills,Pennsylvania
779,Goo Kennedy,196,92,Texas Christian University,1949,Charlotte,North Carolina
780,Larry Kenon,206,92,University of Memphis,1952,Birmingham,Alabama
781,Billy Knight,198,88,University of Pittsburgh,1952,Braddock,Pennsylvania
782,Mitch Kupchak,206,104,University of North Carolina,1954,Hicksville,New York
783,Bo Lamar,185,81,University of Louisiana at Lafayette,1951,Columbus,Ohio
784,Ron Lee,193,87,University of Oregon,1952,Boston,Massachusetts
785,Scott Lloyd,208,104,Arizona State University,1952,Chicago,Illinois
786,John Lucas,190,79,University of Maryland,1953,Durham,North Carolina
787,Maurice Lucas,206,97,Marquette University,1952,Pittsburgh,Pennsylvania
788,Scott May,201,97,Indiana University,1954,Sandusky,Ohio
789,Andre McCarter,190,86,"University of California, Los Angeles",1953,Philadelphia,Pennsylvania
790,Ted McClain,185,81,Tennessee State University,1946,Nashville,Tennessee
791,Allen Murphy,196,86,University of Louisville,1952,Birmingham,Alabama
792,Swen Nater,211,108,"University of California, Los Angeles",1950,Denhelder,Netherlands
793,Johnny Neumann,198,90,University of Mississippi,1951,Memphis,Tennessee
794,Mark Olberding,203,102,University of Minnesota,1956,Melrose,Minnesota
795,Tom Owens,208,97,University of South Carolina,1949,Bronx,New York
796,Joe Pace,208,99,Coppin State University,1953,New Brunswick,New Jersey
797,Robert Parish*,213,104,Centenary College of Louisiana,1953,Shreveport,Louisiana
798,Sonny Parker,198,90,Texas A&M University,1955,Chicago,Illinois
799,Billy Paultz,211,106,St. John's University,1948,River Edge,New Jersey
800,Marv Roberts,203,90,Utah State University,1950,Brooklyn,New York
801,Dave Robisch,208,106,University of Kansas,1949,Cincinnati,Ohio
802,Marshall Rogers,185,86,University of Texas-Pan American,1953,St. Louis,Missouri
803,Dan Roundfield,203,92,Central Michigan University,1953,Detroit,Michigan
804,Phil Sellers,193,88,Rutgers University,1953,Brooklyn,New York
805,Lonnie Shelton,203,108,Oregon State University,1955,Bakersfield,California
806,James Silas,185,81,Stephen F. Austin State University,1949,Tallulah,Louisiana
807,Ralph Simpson,196,90,Michigan State University,1949,Detroit,Michigan
808,Al Skinner,190,86,University of Massachusetts Amherst,1952,Mount Vernon,New York
809,Keith Starr,198,86,University of Pittsburgh,1954,Sewickley,Pennsylvania
810,Earl Tatum,196,83,Marquette University,1953,Mount Vernon,New York
811,Brian Taylor,188,83,Princeton University,1951,Perth Amboy,New Jersey
812,Fatty Taylor,183,79,La Salle University,1946,Washington,District of Columbia
813,Ira Terrell,203,90,Southern Methodist University,1954,Dallas,Texas
814,Claude Terry,193,88,Stanford University,1950,Salida,California
815,David Thompson*,193,88,North Carolina State University,1954,Shelby,North Carolina
816,Monte Towe,170,68,North Carolina State University,1953,Marion,Indiana
817,Dave Twardzik,185,79,Old Dominion University,1950,Hershey,Pennsylvania
818,Andy Walker,193,86,Niagara University,1955,Long Island City,New York
819,Wally Walker,201,86,University of Virginia,1954,Millersville,Pennsylvania
820,Lloyd Walton,183,72,Marquette University,1953,Chicago,Illinois
821,Henry Ward,193,88,Jackson State University,1952,Jackson,Mississippi
822,Richard Washington,211,99,"University of California, Los Angeles",1955,Portland,Oregon
823,Marvin Webster,216,102,Morgan State University,1952,Baltimore,Maryland
824,Bob Wilkerson,198,88,Indiana University,1954,Anderson,Indiana
825,Chuck Williams,183,74,Seattle University,1943,Colorado Springs,Colorado
826,Chuckie Williams,183,74,Seattle University,1943,Colorado Springs,Colorado
827,John Williamson,188,83,New Mexico State University,1951,New Haven,Connecticut
828,Willie Wise,196,95,Drake University,1947,San Francisco,California
829,Larry Wright,185,72,Grambling State University,1954,Monroe,Louisiana
830,Tate Armstrong,190,79,Duke University,1955,Moultrie,Georgia
831,Greg Ballard,201,97,University of Oregon,1955,Los Angeles,California
832,Kent Benson,208,106,Indiana University,1954,New Castle,Indiana
833,Otis Birdsong,190,86,University of Houston,1955,Winter Haven,Florida
834,Phil Bond,188,79,University of Louisville,1954,Louisville,Kentucky
835,Jim Bostic,201,102,New Mexico State University,1953,Brooklyn,New York
836,Alonzo Bradley,198,86,Texas Southern University,1953,Utica,Mississippi
837,Mike Bratz,188,83,Stanford University,1955,Lompoc,California
838,Wayman Britt,188,83,University of Michigan,1952,Wilson Mills,North Carolina
839,Kenny Carr,201,99,North Carolina State University,1955,Washington,District of Columbia
840,Bob Carrington,198,88,Boston College,1953,Brookline,Massachusetts
841,Wesley Cox,198,97,University of Louisville,1955,Louisville,Kentucky
842,Charlie Criss,173,74,New Mexico State University,1948,Valhalla,New York
843,Mark Crow,201,95,Duke University,1954,Edwards AFB,California
844,Brad Davis,190,81,University of Maryland,1955,Monaca,Pennsylvania
845,Walter Davis,203,92,Texas A&M University,1931,Beaumont,Texas
846,Jacky Dorsey,201,104,University of Georgia,1954,Atlanta,Georgia
847,James Edwards,213,102,University of Washington,1955,Seattle,Washington
848,Al Fleming,201,97,University of Arizona,1954,Chicago,Illinois
849,Bayard Forrest,208,106,Grand Canyon University,1954,San Jose,California
850,Mike Glenn,188,79,Southern Illinois University,1955,Rome,Georgia
851,Glen Gondrezick,198,98,"University of Nevada, Las Vegas",1955,Boulder,Colorado
852,Rickey Green,183,77,University of Michigan,1954,Chicago,Illinois
853,Greg Griffin,201,86,Idaho State University,1952,Cleveland,Ohio
854,Ernie Grunfeld,198,95,University of Tennessee,1955,Satu-Mare,Romania
855,Joe Hassett,196,81,Providence College,1955,Providence,Rhode Island
856,Eddie Johnson,203,92,Tennessee State University,1944,Atlanta,Georgia
857,Larry Johnson,190,92,University of Kentucky,1954,Morganfield,Kentucky
858,Marques Johnson,201,98,"University of California, Los Angeles",1956,Nachitoches,Louisiana
859,Eddie Jordan,185,77,Rutgers University,1955,Washington,District of Columbia
860,Bernard King*,201,92,University of Tennessee,1956,Brooklyn,New York
861,Toby Knight,206,95,University of Notre Dame,1955,Bronx,New York
862,John Kuester,188,81,University of North Carolina,1955,Richmond,Virginia
863,Tom LaGarde,208,99,University of North Carolina,1955,Detroit,Michigan
864,Mark Landsberger,203,97,Arizona State University,1955,Minot,North Dakota
865,Rich Laurel,198,86,Hofstra University,1954,Philadelphia,Pennsylvania
866,Ricky Marsh,190,90,Manhattan College,1954,New York,New York
867,Cedric Maxwell,203,92,University of North Carolina at Charlotte,1955,Kinston,North Carolina
868,Larry Moffett,203,95,"University of Nevada, Las Vegas",1954,Mobile,Alabama
869,Glenn Mosley,203,88,Seton Hall University,1955,Newark,New Jersey
870,Norm Nixon,188,77,Duquesne University,1955,Macon,Georgia
871,Ben Poquette,206,106,Central Michigan University,1955,Ann Arbor,Michigan
872,Robert Reid,203,92,St. Mary's University,1955,Atlanta,Georgia
873,Anthony Roberts,196,83,Oral Roberts University,1955,Chattanooga,Tennessee
874,Tony Robertson,193,88,West Virginia University,1956,Detroit,Michigan
875,Tree Rollins,216,106,Clemson University,1955,Winter Haven,Florida
876,Alvin Scott,201,83,Oral Roberts University,1955,Cleveland,Tennessee
877,Steve Sheppard,198,97,University of Maryland,1954,New York,New York
878,Jack Sikma,211,104,Illinois Wesleyan University,1955,Kankakee,Illinois
879,Scott Sims,185,77,University of Missouri,1955,Kirksville,Missouri
880,Robert Smith,180,74,"University of Nevada, Las Vegas",1955,Los Angeles,California
881,Phil Walker,190,81,Millersville University of Pennsylvania,1956,Philadelphia,Pennsylvania
882,Wilson Washington,206,102,Old Dominion University,1955,Norfolk,Virginia
883,Ray Williams,190,85,University of Minnesota,1954,Mount Vernon,New York
884,Kim Anderson,201,90,University of Missouri,1955,Sedalia,Missouri
885,Del Beshore,180,74,California University of Pennslyvania,1956,Mechanicsburg,Pennsylvania
886,Dennis Boyd,185,79,University of Detroit Mercy,1954,Portsmouth,Virginia
887,Winford Boynes,198,83,University of San Francisco,1957,Greenville,South Carolina
888,Ron Brewer,193,81,University of Arkansas,1955,Fort Smith,Arkansas
889,Greg Bunch,198,86,"California State University, Fullerton",1956,San Bernardino,California
890,Marty Byrnes,201,97,Syracuse University,1956,Syracuse,New York
891,Ron Carter,196,86,Virginia Military Institute,1956,Pittsburgh,Pennsylvania
892,Maurice Cheeks,185,81,West Texas A&M University,1956,Chicago,Illinois
893,Michael Cooper,196,77,University of New Mexico,1956,Los Angeles,California
894,Wayne Cooper,208,99,University of New Orleans,1956,Milan,Georgia
895,Dave Corzine,211,113,DePaul University,1956,Arlington Heights,Illinois
896,Geoff Crompton,211,127,University of North Carolina,1955,Burlington,North Carolina
897,Harry Davis,201,99,Florida State University,1956,Cleveland,Ohio
898,Bob Elliott,206,102,University of Arizona,1955,Ann Arbor,Michigan
899,Ray Epps,198,88,Norfolk State University,1956,Amelia,Virginia
900,Phil Ford,188,79,University of North Carolina,1956,Rocky Mount,North Carolina
901,Jack Givens,196,92,University of Kentucky,1956,Lexington,Kentucky
902,Tommie Green,188,83,Southern University and A&M College,1956,Baton Rouge,Louisiana
903,Lars Hansen,208,102,University of Washington,1954,Copenhagen,Denmark
904,James Hardy,203,99,University of San Francisco,1956,Knoxville,Alabama
905,Keith Herron,198,88,Villanova University,1956,Memphis,Tennessee
906,Kenny Higgs,183,81,Louisiana State University,1955,Owensboro,Kentucky
907,Essie Hollis,198,88,St. Bonaventure University,1955,Erie,Pennsylvania
908,Otis Howard,201,99,Austin Peay State University,1956,Oak Ridge,Tennessee
909,Clemon Johnson,208,108,Florida Agricultural and Mechanical University,1956,Monticello,Florida
910,Jeff Judkins,198,83,University of Utah,1956,Salt Lake City,Utah
911,Joel Kramer,201,92,San Diego State University,1955,San Diego,California
912,Butch Lee,183,83,Marquette University,1956,Santurce,Puerto Rico
913,John Long,196,88,University of Detroit Mercy,1956,Romulus,Michigan
914,Billy McKinney,183,72,Northwestern University,1955,Waukegan,Illinois
915,Mike Mitchell,201,97,Auburn University,1956,Atlanta,Georgia
916,John Olive,201,95,Villanova University,1955,Philadelphia,Pennsylvania
917,Roger Phegley,198,92,Bradley University,1956,East Peoria,Illinois
918,Stan Pietkiewicz,196,90,Auburn University,1956,Huntsville,Alabama
919,Wayne Radford,190,92,Indiana University,1956,Indianapolis,Indiana
920,Marlon Redmond,198,85,University of San Francisco,1955,San Francisco,California
921,Rick Robey,211,104,University of Kentucky,1956,Coral Gables,Florida
922,Jackie Robinson,198,95,"University of Nevada, Las Vegas",1955,Los Angeles,California
923,John Rudd,201,104,McNeese State University,1955,DeRidder,Louisiana
924,Frankie Sanders,198,90,Southern University and A&M College,1957,Dayton,Ohio
925,Purvis Short,201,95,Jackson State University,1957,Hattiesburg,Mississippi
926,Sam Smith,201,104,Kentucky Wesleyan College,1944,Hazard,Kentucky
927,Reggie Theus,201,86,"University of Nevada, Las Vegas",1957,Inglewood,California
928,Mychal Thompson,208,102,University of Minnesota,1955,Nassau,Bahamas
929,Raymond Townsend,190,79,"University of California, Los Angeles",1955,San Jose,California
930,Terry Tyler,201,97,University of Detroit Mercy,1956,Detroit,Michigan
931,Andre Wakefield,190,79,Loyola University of Chicago,1955,Chicago,Illinois
932,Jerome Whitehead,208,99,Marquette University,1956,Waukegan,Illinois
933,Freeman Williams,193,86,Portland State University,1956,Los Angeles,California
934,Rick Wilson,196,90,University of Louisville,1956,Louisville,Kentucky
935,James Bailey,206,99,Rutgers University,1957,Dublin,Georgia
936,Larry Bird*,206,99,Indiana State University,1956,West Baden,Indiana
937,Lawrence Boston,203,102,University of Maryland,1956,Cleveland,Ohio
938,Dudley Bradley,198,88,University of North Carolina,1957,Baltimore,Maryland
939,Bill Cartwright,216,111,University of San Francisco,1957,Lodi,California
940,Jeff Cook,208,97,Idaho State University,1956,West Covina,California
941,Hollis Copeland,198,81,Rutgers University,1955,Trenton,New Jersey
942,John Coughran,201,102,University of California,1951,Pittsburg,California
943,Terry Crosby,193,88,University of Tennessee,1957,Toledo,Ohio
944,Pat Cummings,206,104,University of Cincinnati,1956,Johnstown,Pennsylvania
945,Paul Dawkins,196,86,Northern Illinois University,1957,Saginaw,Michigan
946,Greg Deane,193,86,University of Utah,1957,Tulare,California
947,Larry Demic,206,102,University of Arizona,1957,Gary,Indiana
948,Terry Duerod,188,81,University of Detroit Mercy,1956,Royal Oak,Michigan
949,Earl Evans,203,91,"University of Nevada, Las Vegas",1955,Port Arthur,Texas
950,Mike Evans,185,77,Kansas State University,1955,Goldsboro,North Carolina
951,Gary Garland,193,81,DePaul University,1957,East Orange,New Jersey
952,Dave Greenwood,206,100,"University of California, Los Angeles",1957,Lynwood,California
953,Roy Hamilton,188,81,"University of California, Los Angeles",1957,Los Angeles,California
954,Gerald Henderson,188,79,Virginia Commonwealth University,1956,Richmond,Virginia
955,Johnny High,190,83,"University of Nevada, Reno",1957,Birmingham,Alabama
956,Brad Holland,190,81,"University of California, Los Angeles",1956,Billings,Montana
957,Phil Hubbard,203,97,University of Michigan,1956,Canton,Ohio
958,Geoff Huston,188,79,Texas Tech University,1957,Brooklyn,New York
959,Abdul Jeelani,203,95,University of Wisconsin-Parkside,1954,Bells,Tennessee
960,Cheese Johnson,183,77,University of California,1949,Corpus Christi,Texas
961,Magic Johnson*,201,98,"University of California, Los Angeles",1956,Nachitoches,Louisiana
962,Vinnie Johnson,188,90,Baylor University,1956,Brooklyn,New York
963,Major Jones,206,102,Albany State University,1953,McGhee,Arkansas
964,Greg Kelser,201,86,Michigan State University,1957,Panama City,Florida
965,Irv Kiffin,206,102,Oklahoma Baptist University,1951,New York,New York
966,Carl Kilpatrick,208,104,University of Louisiana at Monroe,1956,Bastrop,Louisiana
967,Reggie King,198,102,University of Alabama,1957,Birmingham,Alabama
968,Arvid Kramer,206,99,Augustana College (SD),1956,Fulda,Minnesota
969,Allen Leavell,185,77,Oklahoma City University,1957,Muncie,Indiana
970,Ollie Mack,190,83,East Carolina University,1957,New York,New York
971,Steve Malovic,208,104,San Diego State University,1956,Cleveland,Ohio
972,Paul Mokeski,213,113,University of Kansas,1957,Spokane,Washington
973,Sidney Moncrief,190,81,University of Arkansas,1957,Little Rock,Arkansas
974,Calvin Natt,198,99,University of Louisiana at Monroe,1957,Monroe,Louisiana
975,Sylvester Norris,211,99,Jackson State University,1957,Jackson,Mississippi
976,Wiley Peck,201,99,Mississippi State University,1957,Montgomery,Alabama
977,Sam Pellom,206,102,"University at Buffalo, State University of New York",1951,Wilmington,North Carolina
978,Clint Richardson,190,88,Seattle University,1956,Seattle,Washington
979,Cliff Robinson,206,99,University of Southern California,1960,Oakland,California
980,Jim Spanarkel,196,86,Duke University,1957,Jersey City,New Jersey
981,Bernard Toone,206,95,Marquette University,1956,Yonkers,New York
982,Duck Williams,188,81,University of Notre Dame,1956,Demopolis,Alabama
983,Sly Williams,201,95,University of Rhode Island,1958,New Haven,Connecticut
984,Bubba Wilson,190,79,Western Carolina University,1955,Gastonia,North Carolina
985,Tony Zeno,203,95,Arizona State University,1957,New Orleans,Louisiana
986,Darrell Allums,206,99,"University of California, Los Angeles",1958,Los Angeles,California
987,Norman Black,196,83,Saint Joseph's University,1957,Baltimore,Maryland
988,Dave Britton,193,81,Texas A&M University,1958,New York,New York
989,Michael Brooks,201,99,La Salle University,1958,Philadelphia,Pennsylvania
990,Rickey Brown,208,97,Mississippi State University,1958,Madison County,Mississippi
991,Joe Barry,193,88,Georgia Institute of Technology,1969,Oakland,California
992,Butch Carter,196,81,Indiana University,1958,Springfield,Ohio
993,Reggie Carter,190,79,St. John's University,1957,New York,New York
994,Art Collins,193,83,St. Thomas University,1954,Sandersville,Georgia
995,Don Collins,198,81,Illinois State University,1951,Christopher,Illinois
996,Darwin Cook,190,83,University of Portland,1958,Los Angeles,California
997,Earl Cureton,206,95,University of Detroit Mercy,1957,Detroit,Michigan
998,Monti Davis,201,92,Tennessee State University,1958,Warren,Ohio
999,James Donaldson,218,124,Washington State University,1957,Heacham,United Kingdom
1000,Larry Drew,185,77,University of Missouri,1958,Kansas City,Kansas
1001,Ralph Drollinger,218,113,"University of California, Los Angeles",1954,La Mesa,California
1002,John Duren,190,88,Georgetown University,1958,Washington,District of Columbia
1003,Tony Fuller,193,81,Pepperdine University,1958,Detroit,Michigan
1004,Calvin Garrett,201,86,Oral Roberts University,1956,Parsons,Tennessee
1005,Mike Gminski,211,113,Duke University,1959,Monroe,Connecticut
1006,Darrell Griffith,193,86,University of Louisville,1958,Louisville,Kentucky
1007,Bill Hanzlik,201,83,University of Notre Dame,1957,Middletown,Ohio
1008,Alan Hardy,201,88,University of Michigan,1957,Detroit,Michigan
1009,Mike Harper,208,88,North Park University,1957,Chicago,Illinois
1010,Cedrick Hordges,203,99,University of South Carolina,1957,Montgomery,Alabama
1011,Tony Jackson,193,90,St. John's University,1942,Brooklyn,New York
1012,Lee Johnson,211,92,East Texas State University,1957,Plummerville,Arkansas
1013,Reggie Johnson,206,92,University of Tennessee,1957,Atlanta,Georgia
1014,Edgar Jones,208,102,"University of Nevada, Reno",1956,Fort Rucker,Alabama
1015,Walter Jordan,201,89,Purdue University,1956,Perry,Alabama
1016,Clarence Kea,198,98,Lamar University,1959,Wilmington,North Carolina
1017,Chad Kinch,193,86,University of North Carolina at Charlotte,1958,Perth Amboy,New Jersey
1018,Wayne Kreklow,193,79,Drake University,1957,Neenah,Wisconsin
1019,Bill Laimbeer,211,111,University of Notre Dame,1957,Boston,Massachusetts
1020,Edmund Lawrence,213,103,McNeese State University,1952,Lake Charles,Louisiana
1021,Ronnie Lester,188,79,University of Iowa,1959,Canton,Mississippi
1022,Kyle Macy,190,79,University of Kentucky,1957,Fort Wayne,Indiana
1023,Rick Mahorn,208,108,Hampton University,1958,Hartford,Connecticut
1024,Wes Matthews,185,77,University of Wisconsin,1959,Sarasota,Florida
1025,Bill Mayfield,201,92,University of Iowa,1957,Detroit,Michigan
1026,Keith McCord,201,95,University of Alabama at Birmingham,1957,Birmingham,Alabama
1027,Kevin McHale*,208,95,University of Minnesota,1957,Hibbing,Minnesota
1028,Dick Miller,198,97,University of Toledo,1958,Milwaukee,Wisconsin
1029,Johnny Moore,185,79,University of Texas at Austin,1958,Altoona,Pennsylvania
1030,Lowes Moore,185,77,West Virginia University,1957,Plymouth,South Carolina
1031,Kenny Natt,190,83,University of Louisiana at Monroe,1958,Monroe,Louisiana
1032,Carl Nicks,185,79,Indiana State University,1958,Chicago,Illinois
1033,Mike Niles,198,102,"California State University, Fullerton",1955,Los Angeles,California
1034,Mike O'Koren,201,93,University of North Carolina,1958,Jersey City,New Jersey
1035,Jawann Oldham,213,97,Seattle University,1957,Chicago,Illinois
1036,Louis Orr,203,79,Syracuse University,1958,Cincinnati,Ohio
1037,Myles Patrick,203,99,Auburn University,1954,Macon,Georgia
1038,Tony Price,198,86,University of Pennsylvania,1957,Bronx,New York
1039,Wally Rank,198,99,San Jose State University,1958,Fort Ord,California
1040,Kelvin Ransey,185,77,Ohio State University,1958,Toledo,Ohio
